ObjectID,KiloNBR,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side
1582201,LHP200418001052,450000 BLOCK LILIPUNA RD,Honolulu_PD_HI_LHP200418001052_077,"Honolulu PD, HI",04/19/2020 12:49:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10156
1582202,LHP200418001073,2700 BLOCK MONSARRAT AVE,Honolulu_PD_HI_LHP200418001073_040,"Honolulu PD, HI",04/19/2020 01:01:00 AM +0000,ASSAULT,M,100,10157
1582203,LHP200418001086,500 BLOCK PEPEEKEO ST,Honolulu_PD_HI_LHP200418001086_111,"Honolulu PD, HI",04/19/2020 01:05:00 AM +0000,FRAUD,M,100,10158
1582204,LHP200418001112,1300 BLOCK KANEWAI ST,Honolulu_PD_HI_LHP200418001112_240,"Honolulu PD, HI",04/19/2020 01:14:00 AM +0000,DISTURBING THE PEACE,M,100,10159
1582205,LHP200418001166,3200 BLOCK ALA ILIMA,Honolulu_PD_HI_LHP200418001166_077,"Honolulu PD, HI",04/19/2020 01:37:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10160
1582206,LHP200418001201,600 BLOCK KAPAIA ST,Honolulu_PD_HI_LHP200418001201_064,"Honolulu PD, HI",04/19/2020 02:02:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10161
1582207,LHP200418001208,1100 BLOCK YOUNG ST,Honolulu_PD_HI_LHP200418001208_077,"Honolulu PD, HI",04/19/2020 02:06:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10162
1582208,LHP200418001219,100 BLOCK SAND ISLAND ACC RD,Honolulu_PD_HI_LHP200418001219_140,"Honolulu PD, HI",04/19/2020 02:15:00 AM +0000,VANDALISM,M,100,10163
1582209,LHP200418001225,940600 BLOCK KUPUNA LOOP,Honolulu_PD_HI_LHP200418001225_064,"Honolulu PD, HI",04/19/2020 02:18:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10164
1582210,LHP200418001229,KALAKAUA AVE&ULUNIU AVE,Honolulu_PD_HI_LHP200418001229_220,"Honolulu PD, HI",04/19/2020 02:19:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,M,100,10165
1582211,LHP200418001259,2900 BLOCK OLIANA LOOP,Honolulu_PD_HI_LHP200418001259_060,"Honolulu PD, HI",04/19/2020 02:35:00 AM +0000,THEFT/LARCENY,M,100,10166
1582212,LHP200418001280,2200 BLOCK KUHIO AVE,Honolulu_PD_HI_LHP200418001280_060,"Honolulu PD, HI",04/19/2020 02:44:00 AM +0000,THEFT/LARCENY,M,100,10167
1582213,LHP200418001334,1300 BLOCK AKAHAI ST,Honolulu_PD_HI_LHP200418001334_064,"Honolulu PD, HI",04/19/2020 03:09:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10168
1582215,LHP200418001404,IWILEI RD&KUWILI ST,Honolulu_PD_HI_LHP200418001404_220,"Honolulu PD, HI",04/19/2020 03:55:00 AM +0000,DRUGS/ALCOHOL VIOLATIONS,M,100,10169
1582216,LHP200418001409,200 BLOCK S KING ST,Honolulu_PD_HI_LHP200418001409_141,"Honolulu PD, HI",04/19/2020 03:55:00 AM +0000,VANDALISM,M,100,10170
1582217,LHP200418001415,3600 BLOCK MANOA RD,Honolulu_PD_HI_LHP200418001415_064,"Honolulu PD, HI",04/19/2020 03:58:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10171
1582218,LHP200418001426,2100 BLOCK KALIA RD,Honolulu_PD_HI_LHP200418001426_080,"Honolulu PD, HI",04/19/2020 04:02:00 AM +0000,ASSAULT,M,100,10172
1582219,LHP200418001475,BAILEY RD&ELROD RD,Honolulu_PD_HI_LHP200418001475_060,"Honolulu PD, HI",04/19/2020 04:30:00 AM +0000,THEFT/LARCENY,M,100,10173
1582220,LHP200418001476,5100 BLOCK KALANIANAOLE HWY,Honolulu_PD_HI_LHP200418001476_060,"Honolulu PD, HI",04/19/2020 04:32:00 AM +0000,THEFT/LARCENY,M,100,10174
1582221,LHP200418001522,450500 BLOCK PAHIA RD,Honolulu_PD_HI_LHP200418001522_050,"Honolulu PD, HI",04/19/2020 04:59:00 AM +0000,BURGLARY,M,100,10175
1582222,LHP200418001524,1200 BLOCK ULUPUNI ST,Honolulu_PD_HI_LHP200418001524_077,"Honolulu PD, HI",04/19/2020 04:58:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10176
1582223,LHP200418001552,920200 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418001552_064,"Honolulu PD, HI",04/19/2020 05:17:00 AM +0000,VEHICLE BREAK-IN/THEFT,M,100,10177
1582224,LHP200418001554,2200 BLOCK MAKANANI DR,Honolulu_PD_HI_LHP200418001554_060,"Honolulu PD, HI",04/19/2020 05:18:00 AM +0000,THEFT/LARCENY,M,100,10178
1582225,LHP200418001605,500 BLOCK FLOYD ST,Honolulu_PD_HI_LHP200418001605_077,"Honolulu PD, HI",04/19/2020 05:51:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10179
1582226,LHP200418001674,840700 BLOCK LAHAINA ST,Honolulu_PD_HI_LHP200418001674_050,"Honolulu PD, HI",04/19/2020 06:40:00 AM +0000,BURGLARY,M,100,10180
1582227,LHP200418001688,500 BLOCK FARRINGTON HWY,Honolulu_PD_HI_LHP200418001688_077,"Honolulu PD, HI",04/19/2020 06:48:00 AM +0000,MOTOR VEHICLE THEFT,M,100,10181
1582228,LHP200418001691,460000 BLOCK KAM HWY,Honolulu_PD_HI_LHP200418001691_060,"Honolulu PD, HI",04/19/2020 06:50:00 AM +0000,THEFT/LARCENY,M,100,10182
1582229,LHP200418001693,1500 BLOCK NOELANI ST,Honolulu_PD_HI_LHP200418001693_110,"Honolulu PD, HI",04/19/2020 06:51:00 AM +0000,FRAUD,M,100,10183
1582230,LHP200418001694,2300 BLOCK N SCHOOL ST,Honolulu_PD_HI_LHP200418001694_060,"Honolulu PD, HI",04/19/2020 06:53:00 AM +0000,THEFT/LARCENY,M,100,10184
1582231,LHP200418001718,560300 BLOCK KAM HWY,Honolulu_PD_HI_LHP200418001718_060,"Honolulu PD, HI",04/19/2020 07:08:00 AM +0000,THEFT/LARCENY,M,100,10185
1582232,LHP200418001778,PUNCHBOWL ST&QUEEN ST,Honolulu_PD_HI_LHP200418001778_150,"Honolulu PD, HI",04/19/2020 07:47:00 AM +0000,WEAPONS,M,100,10186
